Record.Number,Scientific.Name,Observation.Date,Verified.Date,Specimen.Type,Organism.Type,Status,Region(s),Lat/Long,Longitude,Precision,Location.Notes,Observation.Notes,Submitter,Data.Source,Partner.Project,Updated.Date
288403,Battus philenor,06/09/1982,03/09/2007,Specimen,butterfly,Unknown,United StatesMissouriDent County,37.642792,-91.540352,point record,"Salem, Highway 72 near", Geocoded Accuracy: RANGE_INTERPOLATED,legacy.reporter (53),"Heitzman, J.R. 1982",,08/30/2010 19:08:53
288415,Battus philenor,10/01/1997,03/12/2007,Specimen,butterfly,Unknown,United StatesMissouriJackson County,39.085983,-94.448761,point record,"Independence, 3112 S. Harris",many adults and larvae14 June - 1 Oct. 1997 Geocoded Accuracy: RANGE_INTERPOLATED,legacy.reporter (53),"Heitzman, J.R. 1997",,08/30/2010 19:08:56
288438,Battus philenor,05/27/1977,03/12/2007,Specimen,butterfly,Unknown,United StatesMissouriPerry County,37.736252,-89.931877,point record,"Perryville, Highway 55 near", Geocoded Accuracy: RANGE_INTERPOLATED,legacy.reporter (53),"Heitzman, J.R. 1977",,08/30/2010 19:09:02
288446,Battus philenor,06/07/1980,03/12/2007,Specimen,butterfly,Unknown,United StatesMissouriReynolds County,37.217392,-91.03141,point record,"Reynolds County, Southern",(Common 7 June 1980) Geocoded Accuracy: GEOMETRIC_CENTER,legacy.reporter (53),"Hess, David",,08/30/2010 19:09:04
406519,Battus philenor,09/23/2002,11/16/2006,Sighting,butterfly,Resident,United StatesTennesseeWilliamson County,36.023632,-86.865616,point record,"Owl's Hill Nature Sanctuary, Brentwood", short description of field marks provided.,legacy.reporter (53),"Rita Venable w/ Nancy Garden, Bob Meyer, Suzanne Silva",,04/15/2011 16:10:23
406857,Battus philenor,04/19/2005,01/08/2007,Sighting,butterfly,Resident,United StatesTennesseeRutherford County,35.863419,-86.411064,point record,Stones River Greenway, description submitted Geocoded Accuracy: GEOMETRIC_CENTER,legacy.reporter (53),Rita Venable,,04/15/2011 16:05:10
411090,Battus philenor,07/23/2005,06/08/2007,Photograph,butterfly,Resident,Dougherty CountyGeorgiaUnited States,31.515924,-84.4049,point record,Pine Island Rd, Geocoded Accuracy: GEOMETRIC_CENTER,legacy.reporter (53),James Flynn,,08/31/2010 13:52:24
411603,Battus philenor,08/17/2003,06/22/2007,Photograph,butterfly,Resident,Macon CountyGeorgiaUnited States,32.413212,-83.974876,point record,CR 38, Geocoded Accuracy: GEOMETRIC_CENTER,legacy.reporter (53),Earl Horn,,08/31/2010 13:56:33
411923,Battus philenor,07/23/2005,07/18/2007,Photograph,butterfly,Resident,Seminole CountyGeorgiaUnited States,33.678818,-84.781578,point record,Spring Creek Park, Geocoded Accuracy: GEOMETRIC_CENTER,legacy.reporter (53),James Flynn,,08/31/2010 13:59:50
412820,Battus philenor,07/16/2007,08/30/2007,Photograph,butterfly,Resident,Stephens CountyGeorgiaUnited States,34.562366,-83.222107,point record,5113 Brookhaven Cir., Geocoded Accuracy: RANGE_INTERPOLATED,legacy.reporter (53),Jennifer McCollum,,08/31/2010 14:07:12
412954,Battus philenor,03/15/1992,08/30/2007,Photograph,butterfly,Resident,Upson CountyGeorgiaUnited States,32.85458,-84.262917,point record,Waymanville Road, Geocoded Accuracy: GEOMETRIC_CENTER,legacy.reporter (53),Michael Beohm,,08/31/2010 14:08:17
413066,Battus philenor,07/27/2007,08/30/2007,Photograph,butterfly,Resident,Lamar CountyGeorgiaUnited States,33.211533,-84.118156,point record,Chappel Mill Rd, Geocoded Accuracy: GEOMETRIC_CENTER,legacy.reporter (53),Rose Payne,,08/31/2010 14:09:20
413164,Battus philenor,07/21/2007,08/30/2007,Photograph,butterfly,Unknown,United StatesTennesseeSmith County,36.265995,-85.91713,point record,Horseshoe Bend Rd., Geocoded Accuracy: GEOMETRIC_CENTER,stephen stedman (48),Stephen J. Stedman,,04/15/2011 15:56:23
413555,Battus philenor,08/18/2007,09/11/2007,Photograph,butterfly,Unknown,United StatesTennesseeHamilton County,35.033554,-85.105225,point record,"McKee Rd., Collegedale", Geocoded Accuracy: GEOMETRIC_CENTER,legacy.reporter (53),David Spicer,,04/15/2011 15:56:05
413586,Battus philenor,06/23/2007,09/11/2007,Photograph,butterfly,Unknown,United StatesTennesseeMonroe County,35.301708,-83.995697,point record,Cherohala Skyway, Geocoded Accuracy: GEOMETRIC_CENTER,David Trently (107),David J. Trently,,10/07/2019 12:42:06
415307,Battus philenor,09/06/2007,11/27/2007,Photograph,butterfly,Unknown,United StatesTennesseeCannon County,35.706093,-86.09539,point record,Hollow Springs Rd., Geocoded Accuracy: GEOMETRIC_CENTER,legacy.reporter (53),Carol Wolf,,04/15/2011 15:53:21
415753,Battus philenor,07/03/1999,12/03/2007,Historical,butterfly,Unknown,Tuscaloosa CountyAlabamaUnited States,33.267059,-87.081482,point record,Tannehill SP,1 Occurrences Geocoded Accuracy: GEOMETRIC_CENTER,vitaly charny (11),Vitaly Charny,,08/31/2010 14:32:50
416513,Battus philenor,03/23/2000,12/04/2007,Sighting,butterfly,Unknown,Jefferson CountyAlabamaUnited States,33.408947,-86.759895,point record,International Park, Geocoded Accuracy: GEOMETRIC_CENTER,vitaly charny (11),Vitaly Charny,,08/31/2010 15:03:01
416514,Battus philenor,03/28/2000,12/04/2007,Sighting,butterfly,Unknown,Jefferson CountyAlabamaUnited States,33.408947,-86.759895,point record,International Park, Geocoded Accuracy: GEOMETRIC_CENTER,vitaly charny (11),Vitaly Charny,,08/31/2010 15:03:01
416516,Battus philenor,05/14/2000,12/04/2007,Sighting,butterfly,Unknown,Jefferson CountyAlabamaUnited States,33.393383,-86.827171,point record,Moss Rock NP, Geocoded Accuracy: GEOMETRIC_CENTER,vitaly charny (11),Vitaly Charny,,08/31/2010 15:03:02
416519,Battus philenor,05/13/2000,12/04/2007,Sighting,butterfly,Unknown,Jefferson CountyAlabamaUnited States,33.393383,-86.827171,point record,Moss Rock NP, Geocoded Accuracy: GEOMETRIC_CENTER,vitaly charny (11),Vitaly Charny,,08/31/2010 15:03:04
417010,Battus philenor,05/19/2001,12/07/2007,Sighting,butterfly,Unknown,Jefferson CountyAlabamaUnited States,33.464081,-86.874153,point record,Birmingham Southern Collage, Geocoded Accuracy: GEOMETRIC_CENTER,vitaly charny (11),Vitaly Charny,,08/31/2010 15:08:16
417011,Battus philenor,05/13/2001,12/07/2007,Sighting,butterfly,Unknown,Jefferson CountyAlabamaUnited States,33.393383,-86.827171,point record,Moss Rock NP, Geocoded Accuracy: GEOMETRIC_CENTER,vitaly charny (11),Vitaly Charny,,08/31/2010 15:08:16
417012,Battus philenor,07/01/2001,12/07/2007,Sighting,butterfly,Unknown,Tuscaloosa CountyAlabamaUnited States,33.267059,-87.081482,point record,Tannehill SP, Geocoded Accuracy: GEOMETRIC_CENTER,vitaly charny (11),Vitaly Charny,,08/31/2010 15:08:17
417895,Battus philenor,05/26/2002,12/10/2007,Sighting,butterfly,Unknown,Talladega CountyAlabamaUnited States,33.531097,-86.195358,point record,Lake Martin,3 occurrences Geocoded Accuracy: GEOMETRIC_CENTER,vitaly charny (11),Vitaly Charny,,08/31/2010 15:16:06
417979,Battus philenor,06/23/2002,12/10/2007,Sighting,butterfly,Unknown,Jefferson CountyAlabamaUnited States,33.408947,-86.759895,point record,International Park,2 occurrences Geocoded Accuracy: GEOMETRIC_CENTER,vitaly charny (11),Vitaly Charny,,08/31/2010 15:16:49
418118,Battus philenor,04/13/2003,12/11/2007,Sighting,butterfly,Unknown,Tuscaloosa CountyAlabamaUnited States,33.267059,-87.081482,point record,Tannhill SP, Geocoded Accuracy: GEOMETRIC_CENTER,vitaly charny (11),Vitaly Charny,,08/31/2010 15:18:00
418121,Battus philenor,08/10/2003,12/11/2007,Sighting,butterfly,Unknown,Tuscaloosa CountyAlabamaUnited States,33.267059,-87.081482,point record,Tannhill SP,2 occurrences Geocoded Accuracy: GEOMETRIC_CENTER,vitaly charny (11),Vitaly Charny,,08/31/2010 15:18:02
418123,Battus philenor,04/20/2003,12/11/2007,Sighting,butterfly,Unknown,Jefferson CountyAlabamaUnited States,33.408947,-86.759895,point record,International Park,4 occurrences Geocoded Accuracy: GEOMETRIC_CENTER,vitaly charny (11),Vitaly Charny,,08/31/2010 15:18:03
418125,Battus philenor,04/05/2003,12/11/2007,Sighting,butterfly,Unknown,Jefferson CountyAlabamaUnited States,33.408947,-86.759895,point record,International Park,6 occurrences Geocoded Accuracy: GEOMETRIC_CENTER,vitaly charny (11),Vitaly Charny,,08/31/2010 15:18:04
418128,Battus philenor,04/25/2003,12/11/2007,Sighting,butterfly,Unknown,Jefferson CountyAlabamaUnited States,33.408947,-86.759895,point record,International Park,15 occurrences Geocoded Accuracy: GEOMETRIC_CENTER,vitaly charny (11),Vitaly Charny,,08/31/2010 15:18:05
418629,Battus philenor,05/20/2004,12/12/2007,Sighting,butterfly,Unknown,Jefferson CountyAlabamaUnited States,33.408947,-86.759895,point record,International Park, Geocoded Accuracy: GEOMETRIC_CENTER,vitaly charny (11),Vitaly Charny,,08/31/2010 15:22:28
418630,Battus philenor,06/06/2004,12/12/2007,Sighting,butterfly,Unknown,Tuscaloosa CountyAlabamaUnited States,33.267059,-87.081482,point record,Tannehill SP, Geocoded Accuracy: GEOMETRIC_CENTER,vitaly charny (11),Vitaly Charny,,08/31/2010 15:22:28
418631,Battus philenor,08/01/2004,12/12/2007,Sighting,butterfly,Unknown,Tuscaloosa CountyAlabamaUnited States,33.267059,-87.081482,point record,Tannehill SP, Geocoded Accuracy: GEOMETRIC_CENTER,vitaly charny (11),Vitaly Charny,,08/31/2010 15:22:29
418636,Battus philenor,04/07/2004,12/12/2007,Sighting,butterfly,Unknown,Jefferson CountyAlabamaUnited States,33.408947,-86.759895,point record,International Park,2 occurrences Geocoded Accuracy: GEOMETRIC_CENTER,vitaly charny (11),Vitaly Charny,,08/31/2010 15:22:31
418637,Battus philenor,04/24/2004,12/12/2007,Sighting,butterfly,Unknown,Jefferson CountyAlabamaUnited States,33.393383,-86.827171,point record,Moss Rock NP,2 occurrences Geocoded Accuracy: GEOMETRIC_CENTER,vitaly charny (11),Vitaly Charny,,08/31/2010 15:22:32
418638,Battus philenor,09/17/2004,12/12/2007,Sighting,butterfly,Unknown,Jefferson CountyAlabamaUnited States,33.47208,-86.770279,point record,Shades Creek,2 occurrences Geocoded Accuracy: GEOMETRIC_CENTER,vitaly charny (11),Vitaly Charny,,08/31/2010 15:22:32
418641,Battus philenor,04/17/2004,12/12/2007,Sighting,butterfly,Unknown,Jefferson CountyAlabamaUnited States,33.408947,-86.759895,point record,International Park,3 occurrences Geocoded Accuracy: GEOMETRIC_CENTER,vitaly charny (11),Vitaly Charny,,08/31/2010 15:22:34
418647,Battus philenor,04/10/2004,12/12/2007,Sighting,butterfly,Unknown,Jefferson CountyAlabamaUnited States,33.408947,-86.759895,point record,International Park,9 occurrences Geocoded Accuracy: GEOMETRIC_CENTER,vitaly charny (11),Vitaly Charny,,08/31/2010 15:22:37
418649,Battus philenor,04/03/2004,12/12/2007,Sighting,butterfly,Unknown,Jefferson CountyAlabamaUnited States,33.408947,-86.759895,point record,International Park,12 occurrences Geocoded Accuracy: GEOMETRIC_CENTER,vitaly charny (11),Vitaly Charny,,08/31/2010 15:22:38
419581,Battus philenor,09/10/2005,12/14/2007,Sighting,butterfly,Unknown,Jefferson CountyAlabamaUnited States,33.47208,-86.770279,point record,Shades Creek,2 occurrences Geocoded Accuracy: GEOMETRIC_CENTER,vitaly charny (11),Vitaly Charny,,08/31/2010 15:30:33
419584,Battus philenor,04/16/2005,12/14/2007,Sighting,butterfly,Unknown,Tuscaloosa CountyAlabamaUnited States,33.267059,-87.081482,point record,Tannehill SP,3 occurrences Geocoded Accuracy: GEOMETRIC_CENTER,vitaly charny (11),Vitaly Charny,,08/31/2010 15:30:34
420196,Battus philenor,05/14/2006,12/14/2007,Sighting,butterfly,Unknown,United StatesAlabamaJefferson County,33.393383,-86.827171,point record,Moss Rock NP, Geocoded Accuracy: GEOMETRIC_CENTER,vitaly charny (11),Vitaly Chanry,,01/05/2011 12:34:44
420197,Battus philenor,10/01/2006,12/14/2007,Sighting,butterfly,Unknown,United StatesAlabamaJefferson County,33.47208,-86.770279,point record,Shades Creek, Geocoded Accuracy: GEOMETRIC_CENTER,vitaly charny (11),Vitaly Chanry,,01/05/2011 12:34:43
420204,Battus philenor,05/06/2006,12/14/2007,Sighting,butterfly,Unknown,United StatesAlabamaJefferson County,33.393383,-86.827171,point record,Moss Rock NP,3 occurrences Geocoded Accuracy: GEOMETRIC_CENTER,vitaly charny (11),Vitaly Chanry,,01/05/2011 12:34:41
420207,Battus philenor,04/02/2006,12/14/2007,Sighting,butterfly,Unknown,United StatesAlabamaTuscaloosa County,33.267059,-87.081482,point record,Tannehill SP,4 occurrences Geocoded Accuracy: GEOMETRIC_CENTER,vitaly charny (11),Vitaly Chanry,,01/05/2011 12:34:39
420209,Battus philenor,04/16/2006,12/14/2007,Sighting,butterfly,Unknown,United StatesAlabamaTuscaloosa County,33.267059,-87.081482,point record,Tannehill SP,8 occurrences Geocoded Accuracy: GEOMETRIC_CENTER,vitaly charny (11),Vitaly Chanry,,01/05/2011 12:34:39
420210,Battus philenor,04/29/2006,12/14/2007,Sighting,butterfly,Unknown,United StatesAlabamaJefferson County,33.393383,-86.827171,point record,Moss Rock NP,9 occurrences Geocoded Accuracy: GEOMETRIC_CENTER,vitaly charny (11),Vitaly Chanry,,01/05/2011 12:34:39
420671,Battus philenor,03/25/2007,12/28/2007,Sighting,butterfly,Unknown,United StatesAlabamaTuscaloosa County,33.267059,-87.081482,point record,Tannehill SP, Geocoded Accuracy: GEOMETRIC_CENTER,vitaly charny (11),Vitaly Chanry,,01/05/2011 12:32:21
423995,Battus philenor,06/19/2004,04/22/2008,Photograph,butterfly,Unknown,Catoosa CountyGeorgiaUnited States,34.921513,-85.019447,point record,Smith Chapel Road, Geocoded Accuracy: GEOMETRIC_CENTER,legacy.reporter (53),Tanya Jordan,,08/31/2010 16:08:19
424247,Battus philenor,03/21/2008,04/28/2008,Photograph,butterfly,Resident,Jefferson CountyAlabamaUnited States,33.390835,-86.771942,point record,Hoover,5,vitaly charny (11),Vitaly Charny,,08/31/2010 16:10:32
424265,Battus philenor,03/29/2008,04/28/2008,Photograph,butterfly,Resident,Jefferson CountyAlabamaUnited States,33.390835,-86.771942,point record,Hoover,3,vitaly charny (11),Vitaly Charny,,08/31/2010 16:10:41
424388,Battus philenor,04/26/2008,05/05/2008,Photograph,butterfly,Unknown,United StatesTennesseeJackson County,36.444134,-85.762917,point record,Skaggs Creek Rd., Photo by SJS. Geocoded Accuracy: GEOMETRIC_CENTER,legacy.reporter (53),"Stephen J. Stedman, Douglas A. Downs",,04/15/2011 15:52:25
430634,Battus philenor,07/06/2008,07/21/2008,Photograph,butterfly,Unknown,United StatesTennesseeMeigs County,35.360619,-84.93454,point record,Goodner Rd., Geocoded Accuracy: GEOMETRIC_CENTER,David Trently (107),David Trently,,10/07/2019 12:42:04
432032,Battus philenor,07/05/2008,09/24/2008,Photograph,butterfly,Unknown,United StatesMissouriOzark County,36.682999,-92.526001,point record,"NW of Willhoit, section 8",,ozcomomoths (1751),Rhonda Herndon,,05/09/2011 12:46:54
432279,Battus philenor,05/17/2008,09/26/2008,Photograph,butterfly,Resident,Perry CountyAlabamaUnited States,32.691898,-87.238297,point record,Perry Lakes SP,10,vitaly charny (11),Vitaly Charny,,08/31/2010 17:23:31
432309,Battus philenor,05/24/2008,09/26/2008,Sighting,butterfly,Resident,Madison CountyAlabamaUnited States,34.7458,-86.508301,point record,MonteSano SP,2,vitaly charny (11),Vitaly Charny,,08/31/2010 17:23:48
432588,Battus philenor,08/17/2008,09/29/2008,Photograph,butterfly,Unknown,Gaston CountyNorth CarolinaUnited States,35.346985,-81.245506,point record,"Puetts Chapel Road, Dallas", Geocoded Accuracy: GEOMETRIC_CENTER,legacy.reporter (53),Paul Opler Sighting,,08/31/2010 17:26:21
433318,Battus philenor,04/02/2008,10/03/2008,Sighting,butterfly,Resident,Shelby CountyAlabamaUnited States,33.310833,-86.762779,point record,Oak Mountain State Park-green trail,,legacy.reporter (53),Sara Bright,,08/31/2010 17:32:59
433323,Battus philenor,04/06/2008,10/03/2008,Sighting,butterfly,Resident,Jefferson CountyAlabamaUnited States,33.453335,-86.808334,point record,"Lakeshore trail, Homewood",2,vitaly charny (11),Vitaly Charny,,08/31/2010 17:33:02
433345,Battus philenor,04/12/2008,10/03/2008,Sighting,butterfly,Resident,Shelby CountyAlabamaUnited States,33.310833,-86.762779,point record,Oak Mountain SP,3,vitaly charny (11),Vitaly Charny,,08/31/2010 17:33:14
433363,Battus philenor,04/19/2008,10/03/2008,Sighting,butterfly,Resident,Perry CountyAlabamaUnited States,32.691944,-87.238335,point record,Perry Lake,6,vitaly charny (11),Vitaly Charny,,08/31/2010 17:33:23
433386,Battus philenor,04/26/2008,10/03/2008,Sighting,butterfly,Resident,Jefferson CountyAlabamaUnited States,33.390835,-86.771942,point record,Hoover,3,vitaly charny (11),Vitaly Charny,,08/31/2010 17:33:36
433451,Battus philenor,05/21/2007,10/03/2008,Photograph,butterfly,Resident,Saline CountyArkansasUnited States,34.527725,-92.407677,point record,25000 S. Sardis Road in Bauxite,,legacy.reporter (53),John Sutton,,08/31/2010 17:34:11
433780,Battus philenor,06/01/2008,10/14/2008,Photograph,butterfly,Resident,Perry CountyAlabamaUnited States,31.022499,-87.611397,point record,Perry Lakes SP,28,vitaly charny (11),Vitaly Charny,,08/31/2010 17:37:25
433805,Battus philenor,06/15/2008,10/14/2008,Sighting,butterfly,Resident,Limestone CountyAlabamaUnited States,34.734402,-86.862801,point record,Henry Clay Drive,2,vitaly charny (11),Vitaly Charny,,08/31/2010 17:37:38
433817,Battus philenor,06/22/2008,10/14/2008,Photograph,butterfly,Resident,Perry CountyAlabamaUnited States,32.691898,-87.238297,point record,Perry Lakes SP,32,vitaly charny (11),Vitaly Charny,,08/31/2010 17:37:44
433904,Battus philenor,07/06/2008,10/15/2008,Sighting,butterfly,Resident,Jefferson CountyAlabamaUnited States,33.4533,-86.808296,point record,"Lakeshore trail, Homewood",1,vitaly charny (11),Vitaly Charny,,08/31/2010 17:38:32
433920,Battus philenor,07/13/2008,10/15/2008,Photograph,butterfly,Resident,Perry CountyAlabamaUnited States,32.691898,-87.238297,point record,Perry Lakes SP,36,vitaly charny (11),Vitaly Charny,,08/31/2010 17:38:40
433994,Battus philenor,08/23/2008,10/16/2008,Sighting,butterfly,Resident,Jefferson CountyAlabamaUnited States,33.491699,-86.776901,point record,Birmingham Botanical Gardens,2,vitaly charny (11),Vitaly Charny,,08/31/2010 17:39:19
435145,Battus philenor,04/17/1999,10/20/2008,Specimen,butterfly,Resident,Montgomery CountyArkansasUnited States,34.325085,-93.545265,point record,4 mi NE of Glenwood, Geocoded Accuracy: GEOMETRIC_CENTER,legacy.reporter (53),D. Rudolf &  C. Ely,,08/31/2010 17:49:33
435148,Battus philenor,04/19/1999,10/20/2008,Specimen,butterfly,Resident,Polk CountyArkansasUnited States,34.578823,-94.247604,point record,Bard Spring, Geocoded Accuracy: GEOMETRIC_CENTER,legacy.reporter (53),D. Rudolf &  C. Ely,,08/31/2010 17:49:35
435583,Battus philenor,09/07/2008,10/24/2008,Photograph,butterfly,Resident,Perry CountyAlabamaUnited States,32.691898,-87.238297,point record,Perry Lakes SP,5,vitaly charny (11),Vitaly Charny,,08/31/2010 17:53:28
